   date       n19h_m     n19h_b      n19v_m     n19v_b      n22v_m     n22v_b      n37h_m     n37h_b      n37v_m     n37v_b   
2021-01-01   1.04983   -8.68664     0.98312    8.94669     0.93498   20.34245     1.00195    1.39600     0.94375   16.16984  
2021-01-02   1.05301   -9.52468     0.98440    8.58102     0.93878   19.37426     1.00735   -0.02156     0.95146   14.16541  
2021-01-03   1.05340   -9.50220     0.98975    7.34669     0.94698   17.41849     1.00234    1.19805     0.95833   12.57102  
2021-01-04   1.05789  -10.53720     0.99176    6.79518     0.94398   18.17142     1.01236   -1.02367     0.96123   11.84617  
2021-01-05   1.04682   -8.16288     0.98238    8.95968     0.93573   19.98466     1.00465    0.34124     0.95089   14.07350  
2021-01-06   1.05238   -9.52969     0.98654    7.92384     0.93533   19.90005     1.01163   -1.38528     0.95245   13.55844  
2021-01-07   1.05301   -9.49282     0.98963    7.26115     0.93959   18.83789     1.01367   -1.64790     0.96276   11.15914  
2021-01-08   1.04406   -7.20568     0.97804   10.22269     0.92648   22.21164     0.99909    1.91828     0.95017   14.38002  
2021-01-09   1.04564   -7.62290     0.98263    9.13004     0.93761   19.64561     0.99914    1.94690     0.95924   12.34634  
2021-01-10   1.04695   -8.10245     0.97981    9.69875     0.92812   21.83031     1.00393    0.54858     0.95279   13.66462  
2021-01-11   1.04230   -7.12967     0.97946    9.67691     0.92692   22.02134     0.99383    2.87013     0.94949   14.41846  
2021-01-12   1.05224   -9.15374     0.98537    8.33178     0.93727   19.54145     1.01260   -1.21943     0.95680   12.67834  
2021-01-13   1.04936   -8.35774     0.98262    9.09488     0.93085   21.18411     1.00722    0.15537     0.95306   13.69182  
2021-01-14   1.04694   -7.82018     0.98342    8.92383     0.93261   20.78370     1.00423    0.79932     0.95361   13.58910  
2021-01-15   1.05038   -8.59422     0.98231    9.13591     0.93001   21.32411     1.00819   -0.12128     0.95402   13.44320  
2021-01-16   1.05129   -8.65867     0.98545    8.49577     0.93352   20.57802     1.00941   -0.21561     0.95313   13.76548  
2021-01-17   1.05759  -10.06998     0.98899    7.61002     0.93702   19.63532     1.01817   -2.17468     0.95735   12.68647  
2021-01-18   1.04955   -8.18042     0.98532    8.58433     0.93379   20.52442     1.00688    0.42427     0.96082   11.96043  
2021-01-19   1.04956   -8.35027     0.98442    8.69329     0.93321   20.60982     1.00885   -0.13949     0.95906   12.28658  
2021-01-20   1.04800   -8.09931     0.97958    9.73122     0.92443   22.63778     1.00092    1.57574     0.94340   15.88301  
2021-01-21   1.05415   -9.52831     0.98962    7.41936     0.93765   19.60177     1.01717   -1.92586     0.96287   11.47419  
2021-01-22   1.05090   -8.78877     0.98586    8.28375     0.93527   20.16838     1.01270   -0.99185     0.96281   11.43793  
2021-01-23   1.05075   -8.64001     0.98513    8.50567     0.93583   20.11038     1.01381   -1.17685     0.95753   12.75294  
2021-01-24   1.05251   -9.12755     0.98695    8.11151     0.93623   20.02089     1.01671   -1.93738     0.96370   11.26994  
2021-01-25   1.05127   -8.67078     0.98609    8.28447     0.93691   19.76268     1.01677   -1.75686     0.95899   12.31531  
2021-01-26   1.04507   -7.35278     0.98031    9.60411     0.92831   21.72788     1.00214    1.40895     0.95150   14.00737  
2021-01-27   1.05624   -9.94279     0.98689    8.01749     0.93583   19.83083     1.01895   -2.45294     0.96064   11.82225  
2021-01-28   1.04896   -8.09965     0.98319    9.01424     0.93019   21.25559     1.00815    0.12537     0.95665   12.88621  
2021-01-29   1.04826   -8.04414     0.98111    9.54545     0.92792   21.77597     1.00885   -0.12437     0.95516   13.20241  
2021-01-30   1.04924   -8.07317     0.98533    8.54394     0.92976   21.33350     1.00587    0.74507     0.95809   12.52982  
2021-01-31   1.04517   -7.33885     0.97925    9.97227     0.92331   22.81757     0.99106    3.93108     0.94593   15.40190  
2021-02-01   1.05317   -9.05273     0.98726    8.09632     0.93397   20.29238     1.00542    0.81316     0.96050   12.08602  
2021-02-02   1.05748  -10.01044     0.99166    7.04290     0.94178   18.47934     1.01774   -2.00851     0.96471   11.04408  
2021-02-03   1.05594   -9.82976     0.99023    7.28803     0.94421   17.80943     1.01039   -0.58546     0.95825   12.42061  
2021-02-04   1.05172   -9.03204     0.98511    8.46162     0.93775   19.41945     1.00539    0.48676     0.95155   13.98809  
2021-02-05   1.05916  -10.65677     0.99030    7.16938     0.94754   17.07841     1.01782   -2.30244     0.95753   12.54533  
2021-02-06   1.05929  -10.55642     0.98973    7.43660     0.94486   17.82833     1.01770   -2.24749     0.96483   10.91365  
2021-02-07   1.05481   -9.51265     0.98760    7.91126     0.94270   18.31000     1.00567    0.64127     0.96072   11.92559  
2021-02-08   1.05028   -8.35601     0.98559    8.50424     0.94037   18.92783     1.00497    1.04784     0.95903   12.47588  
2021-02-09   1.04878   -8.11948     0.98596    8.39722     0.94068   18.83665     1.00270    1.43025     0.96284   11.56818  
2021-02-10   1.05071   -8.46446     0.98375    8.84264     0.93435   20.31603     1.00887    0.07534     0.95733   12.74809  
