   date       s19h_m     s19h_b      s19v_m     s19v_b      s22v_m     s22v_b      s37h_m     s37h_b      s37v_m     s37v_b   
2021-01-01   1.11740  -16.56348     1.05743   -4.62299     1.00121    7.89629     1.10016  -12.58866     0.98475    9.71246  
2021-01-02   1.13681  -19.24950     1.06923   -6.84068     1.00968    6.18809     1.12918  -17.15673     0.92800   22.15828  
2021-01-03   1.12266  -17.69975     1.05577   -4.37401     0.99472    8.87048     1.10799  -13.99569     0.98146   10.41301  
2021-01-04   1.12016  -17.48025     1.05207   -3.74129     0.99528    8.83033     1.11664  -15.83974     1.02660    0.53003  
2021-01-05   1.12074  -17.31832     1.05370   -3.99349     1.00426    6.94471     1.11958  -16.04719     1.04320   -2.92071  
2021-01-06   1.12451  -17.63563     1.05565   -4.14477     1.00739    6.84248     1.12225  -16.18895     1.02318    1.75724  
2021-01-07   1.13726  -19.22658     1.07213   -7.31711     1.02615    2.85659     1.16222  -22.24793     1.04314   -2.30085  
2021-01-08   1.14385  -19.57163     1.08075   -8.73088     1.02584    3.46444     1.16697  -22.34865     0.95492   16.48022  
2021-01-09   1.12187  -16.66080     1.05862   -4.47442     0.98409   11.71456     1.13036  -16.55675     0.99106    8.87566  
2021-01-10   1.12430  -17.30575     1.06242   -5.32341     0.99413    9.45015     1.12814  -16.85481     1.01682    3.24024  
2021-01-11   1.13738  -19.41596     1.07513   -7.93572     1.00989    5.92646     1.14059  -19.65949     1.00162    6.07341  
2021-01-12   1.12687  -18.07805     1.06199   -5.49070     0.97605   12.59294     1.07651   -9.58889     0.93393   19.77378  
2021-01-13   1.14846  -21.02484     1.08497   -9.77984     1.01800    4.27927     1.12102  -16.02543     0.89858   28.32006  
2021-01-14   1.12028  -17.43091     1.05348   -3.91112     0.96223   15.41406     1.07309   -9.37325     0.92524   21.45759  
2021-01-15   1.10889  -15.65984     1.05290   -3.69899     0.97468   13.18931     1.06471   -8.00440     0.95641   14.85264  
2021-01-16   1.11454  -16.50398     1.05193   -3.50628     0.98493   11.03402     1.07973  -10.34109     0.98144    9.68283  
2021-01-17   1.12212  -18.08270     1.06156   -5.67199     1.00140    7.08906     1.07795  -10.36623     0.99630    6.45695  
2021-01-18   1.10455  -15.92810     1.03722   -1.13475     0.96281   14.85378     1.04747   -5.78951     0.93582   19.00319  
2021-01-19   1.11160  -16.96076     1.04613   -2.77936     0.97404   12.73156     1.07560  -10.36564     1.00701    3.84607  
2021-01-20   1.09169  -13.39804     1.03354   -0.01079     0.96276   15.35281     1.05274   -5.58454     1.01006    3.48510  
2021-01-21   1.10443  -15.55278     1.03696   -0.82698     0.96992   13.59644     1.04410   -5.15967     0.96785   12.12805  
2021-01-22   1.10630  -16.22277     1.04278   -2.10100     0.97383   12.92069     1.06255   -8.34958     0.98441    8.82293  
2021-01-23   1.09750  -14.95371     1.03525   -0.57915     0.96795   14.30521     1.05757   -7.14575     0.99320    7.02360  
2021-01-24   1.10857  -15.59817     1.04669   -2.48486     0.96879   14.35014     1.07245   -9.08138     0.98676    8.46313  
2021-01-25   1.12110  -17.30541     1.05765   -4.53567     0.98332   11.16371     1.09320  -12.06499     0.99162    7.68491  
2021-01-26   1.10890  -15.85487     1.04508   -2.23300     0.96317   15.18142     1.07103   -9.47943     0.99671    5.98451  
2021-01-27   1.11925  -17.64777     1.05293   -4.00966     0.96743   14.11789     1.08094  -11.49071     0.90330   25.85386  
2021-01-28   1.11188  -16.38543     1.04905   -2.96501     0.95747   16.56964     1.07523   -9.49431     0.86051   35.60192  
2021-01-29   1.11429  -16.71467     1.05350   -3.86583     0.97976   12.07154     1.08593  -11.78142     0.95602   14.92079  
2021-01-30   1.11188  -16.48260     1.04318   -1.86275     0.96852   14.18338     1.07459  -10.37957     0.96125   13.53960  
2021-01-31   1.10941  -15.75446     1.03935   -1.08888     0.94957   17.81966     1.04985   -6.00153     0.88804   28.88729  
2021-02-01   1.11500  -16.66778     1.04608   -2.36457     0.95653   16.25528     1.05436   -6.56719     0.94666   16.50586  
2021-02-02   1.10765  -15.49062     1.03932   -0.99089     0.95008   17.52007     1.04164   -4.61211     0.87378   31.77703  
2021-02-03   1.11454  -16.33958     1.04461   -1.97233     0.95067   17.75358     1.04113   -4.45390     0.81949   43.59426  
2021-02-04   1.11830  -16.15388     1.06060   -4.71211     0.97716   12.85568     1.07679   -9.15148     0.89973   26.99163  
2021-02-05   1.10737  -14.96341     1.04544   -1.96794     0.95403   17.40762     1.07616   -9.62829     0.86799   33.27849  
2021-02-06   1.10239  -14.24117     1.03094    0.72775     0.94392   19.22242     1.05848   -7.10787     0.94835   16.01057  
2021-02-07   1.10824  -15.11825     1.04113   -1.30825     0.96263   15.34241     1.08028  -10.73009     0.96343   12.85484  
2021-02-08   1.08622  -13.11199     1.02512    1.48463     0.92803   21.81150     1.02947   -3.03933     0.87804   30.82646  
2021-02-09   1.08982  -12.97928     1.02156    2.32354     0.93583   20.64978     1.02902   -2.50261     0.95965   13.51524  
2021-02-10   1.10577  -15.34492     1.03782   -0.82878     0.98043   11.55886     1.07984  -10.64155     1.01407    2.26222  
2021-02-11   1.08896  -13.56198     1.02154    2.04966     0.94675   17.82982     1.03172   -3.09079     0.95624   14.27476  
2021-02-12   1.07519  -11.80627     1.00037    6.09781     0.90368   26.93574     0.99030    3.76813     0.87803   31.03716  
2021-02-13   1.07956  -11.98767     1.00584    5.16445     0.89941   27.71323     0.99227    3.29750     0.90316   25.32739  
2021-02-14   1.09983  -14.35681     1.02427    1.62603     0.92620   22.36052     1.02326   -2.18560     0.85971   34.27030  
2021-02-15   1.12431  -17.46110     1.05165   -3.39365     0.95492   16.79068     1.05381   -6.65277     0.83277   40.48996  
2021-02-16   1.09890  -14.73836     1.02439    1.33187     0.94333   18.60174     1.05787   -7.32697     0.99038    6.82304  
2021-02-17   1.09770  -14.62739     1.01882    2.51756     0.93407   20.65360     1.03766   -4.92014     0.92108   21.21313  
2021-02-18   1.10237  -15.23233     1.02512    1.30157     0.92157   23.25617     1.00026    1.54336     0.79454   48.59790  
2021-02-19   1.04026   -7.17035     0.96747   12.28925     0.85468   36.77256     0.90955   16.10077     0.79314   48.61396  
2021-02-20   1.02581   -5.53652     0.94575   16.29302     0.83265   41.24205     0.92916   13.24361     0.81706   43.65049  
2021-02-21   1.04197   -7.28372     0.96495   13.09969     0.85929   36.45076     0.89746   18.66131     0.73599   61.48269  
2021-02-22   1.05696   -8.41387     0.98724    8.99602     0.89107   29.91035     0.92309   14.74824     0.82098   43.04384  
2021-02-23   1.07415  -10.29727     1.00473    5.65206     0.91343   25.22006     0.99561    3.43804     0.91197   23.63354  
2021-02-24   1.09127  -13.46405     1.01992    2.38826     0.94320   18.74562     1.02644   -2.66725     0.97412    9.99063  
2021-02-25   1.07980  -12.13365     1.00412    5.12779     0.92873   21.52556     1.01410   -1.13236     0.92188   20.72972  
2021-02-26   1.08016  -12.01994     1.00933    4.32428     0.93441   20.73269     1.01553   -1.16641     0.95253   14.38175  
2021-02-27   1.08240  -12.96995     1.00915    3.99513     0.92974   21.02227     1.02288   -3.14489     0.95788   12.86564  
2021-02-28   1.09173  -14.75876     1.01612    2.51458     0.94205   18.48120     1.02714   -3.87917     0.95799   13.02374  
2021-03-01   1.06907  -10.88244     0.99173    7.51673     0.92115   23.55423     0.99786    1.64869     0.91253   22.95969  
2021-03-02   1.06160   -8.81949     0.99293    7.79193     0.92179   23.83767     0.98617    4.56989     0.91347   23.17402  
2021-03-03   1.06669  -10.15475     0.99160    7.58962     0.93171   21.23201     1.00749    0.36192     0.93471   18.12280  
